,name,time,tweet,Source,Likes,RTs,Localization
29,Gustavo S. Siqueira,2022-11-09 23:15:35+00:00,@rodrigolj Nossa... Por um minuto achei que tu tava falando do Antonio Tabet hajwuzuw agora vi que o post é do Gabriel Monteiro.,Twitter for Android,0,0,Righ here.
30,matheus ribeiro,2022-11-09 23:07:13+00:00,"@gduvivier Não endeusem, meus caros, o menino foi citado pelo Tabet e pelo Gregório e no Instagram agradeceu ao Gug… https://t.co/rzIhIqrF97",Twitter for Android,0,0,
31,Mari,2022-11-09 21:04:21+00:00,"@_mimcs Sofri assédio com 14 e sei o quanto isso dói e causa uma vergonha como se a gente fosse culpada. Mas, a cul… https://t.co/op1toWEfKO",Twitter for iPhone,1,0,
32,Nilsinho,2022-11-09 19:52:56+00:00,"@monark Você leu a decisão e o pq foi tirado do ar?
Na boa, vc precisa entender melhor oq é liberdade e o q é liber… https://t.co/DVPT6t9fSx",Twitter for iPhone,0,0,
33,clarinda marques,2022-11-09 19:46:26+00:00,@B_Simps0n @kellykristina22 @77_frota Pois é: a Tabet falou no debate q dinheiro tinha era só saber administrar e a… https://t.co/zJxbmBcVUk,Twitter for iPhone,1,0,
34,Maria  Soares,2022-11-09 19:30:44+00:00,@simonetebetbr @LulaOficial @geraldoalckmin Tabet duas caras falou mal e depois se uniu a ele,Twitter for Android,0,0,
35,clarinda marques,2022-11-09 19:28:13+00:00,"@AndreJanonesAdv Precisa não!!! Roubem menos, não criem Ministérios inúteis q dinheiro tem!!! A Tabet participou do… https://t.co/MTrCNfSsj8",Twitter for iPhone,0,0,
36,Felp 1️⃣3️⃣,2022-11-09 18:59:11+00:00,"Minha maior preocupação era com as ideias da Tabet na educação 

https://t.co/WPIBCveLmh",Twitter for Android,0,0,"São Paulo, Brasil"
37,Tropa do Fura Bloqueio,2022-11-09 18:54:46+00:00,"me pergunto semanalmente o que aconteceu pro antonio tabet me bloquear, flávio e Carlos bolzo eu lembro, o Lobão tb… https://t.co/2ZHR6ozF2i",Twitter Web App,1,0,"Belo Horizonte, MG"
38,#SemNick 🐷💚,2022-11-09 18:41:32+00:00,@durkingg @Jelleia2 @baianolol1 Concordo com vc mas em nenhum momento ele fez uso da influência dele para propagar… https://t.co/RyJBvpGN2c,Twitter for Android,0,0,"São Paulo, Brasil"
39,Roberta Cer 3%,2022-11-09 18:38:53+00:00,@felipefrp1 @cirogomes Jura mesmo que Lula se elegeu com transferência de votos da Simone Tabet.,Twitter for Android,3,0,"Rio de Janeiro, Brasil"
40,P. figueiredo,2022-11-09 18:03:04+00:00,@antoniotabet Ah agora entendi@. Entre os juristas seu Tabet estão o Zé do Gado (oi???) e o grande juíz Sérgio Moro. Ok tá tudo dominado.,Twitter for iPhone,0,0,"São Paulo, Brasil"
41,P. figueiredo,2022-11-09 18:00:33+00:00,@antoniotabet Ok seu Tabet. Nunca ouvi nada sobre esses eméritos juristas mas vamos lá. Qual é a argumentação desse… https://t.co/k0ku33Wr0Y,Twitter for iPhone,0,0,"São Paulo, Brasil"
42,O Filipo Brazilliano,2022-11-09 17:10:37+00:00,"@gduvivier Por que eu sou bloqueado pelo Tabet? nunca fiz nada, pô heuheuh desbloqueia eu Tabet, sou teu fã crl",Twitter Web App,0,0,"São Paulo, Brasil"
43,Leonardo Alves ( perfil nem 🐙nem 🤡: ban),2022-11-09 17:09:24+00:00,"@madeleinelacsko Uma trinca: Leandro demori, Reinaldo Azevedo e Antônio tabet.",Twitter Web App,0,0,Belo Horizonte MG 
44,Rooster,2022-11-09 16:59:56+00:00,"@Slxme66 @gduvivier Antônio tabet me bloqueou faz uns dois anos já, não consigo ver kkkkk",Twitter for Android,1,0,
45,Inimigo da Agenda 2030 da ONU,2022-11-09 16:25:12+00:00,"Conhecida como Renan calheiros de saia, petista tabet faz tudo por mamata pública https://t.co/4UhVuoocfj",Twitter Web App,3,1,
46,𝙩𝙤·𝙩𝙤,2022-11-09 15:54:29+00:00,SAPATAÕES VAMO PFVR SE CONTROLAR COM A SIMONE TABET,Twitter for Android,2,1,ele/dele🏳️‍🌈
47,Driver 8 fechada com Lula 2022,2022-11-09 15:33:27+00:00,"@garotadopinball O Tabet sempre foi do Kibe Louco amiga, nunca teve programa de TV não. Depois ele foi pra o Porta… https://t.co/ReSvFDaS00",Twitter for Android,1,0,
48,Driver 8 fechada com Lula 2022,2022-11-09 15:28:57+00:00,"@garotadopinball Não amiga, o Oscar Filho. O Tabet não era do CQC.",Twitter for Android,0,0,
