,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
32,Lula diz que Bolsonaro participa de motociata por não ter coragem de fazer comício: https://t.co/eTQMdfMkGw,107,1566516451204382723,2022-09-04 20:00:01+00:00,TweetDeck,5313,480,São Paulo,,
33,"Ciro sai na rua, Tebet sai na rua, Soraya sai na rua, Bolsonaro não sai da rua parece…e o campeão mundial das pesquisas e favorito máximo Lula não sai nem pra pegar um sórzinho? Pra tomar café? Nem no nordeste que o ama tem uma passeada na avenida? Xiiiii https://t.co/iGGrPYX3yg",279,1565082108678340610,2022-08-31 21:00:27+00:00,Twitter for iPhone,34899,5669,"São Paulo, Brasil",,
34,"Bolsonaro chamou Lula de ex-presidiário e foi aplaudido por Daniel Silveira, que é… ex-presidiário #OGlobonasEleicoes",117,1564075386832568320,2022-08-29 02:20:05+00:00,Twitter for iPhone,65314,5981,"Rio de Janeiro, Brasil",,
35,"Bolsonaro chama Lula de presidente. Acertou uma, finalmente, miliciano! #DebateNaBand",85,1564045367133585410,2022-08-29 00:20:48+00:00,Twitter for Android,54610,5385,,,
36,"Olá fãs do Bolsonaro, o que dizem disso?  51 imóveis comprados em dinheiro vivo.  O Lula foi preso por 1 apartamento q nunca conseguiram provar q era dele.  CINQUENTA E UM IMÓVEIS COMPRADOS COM MALETAS DE DINHEIRO VIVO!!! https://t.co/lwqdCfUJhF",245,1564626383262957568,2022-08-30 14:49:33+00:00,Twitter for iPhone,58256,10242,Rio de Janeiro,,
37,"Gente, achei muito forte esse vídeo de 2017, e como o Lula voltou com a candidatura, é importante vermos suas ações com as mulheres, já que estão falando apenas do Bolsonaro. Bom expor trabalhos da Vera Magalhães, que atua nessa pauta para que não tenhamos 2 pesos e 1 medida… https://t.co/l8qn5uTz0X",300,1564377955035451392,2022-08-29 22:22:23+00:00,Twitter for iPhone,12725,4390,,,
38,"Só queria q a imobiliária dos Bolsonaro (107 imóveis) ocupasse 1 minuto ou uma linha de cada um dos milhares de colunistas e influenciadores que dedicaram meses, anos a fio na cobertura ou no sermão sobre o triplex q ñ era do Lula. É pedir muito? #DinheiroVivo",260,1564628662019825664,2022-08-30 14:58:37+00:00,Twitter for iPhone,11557,2988,"São Paulo, Brasil",,
39,"Hahahahahahaha! Lula foi preso pra Bolsonaro ganhar as eleições! Kkkkkk! Inocentado pela ONU! Hahahahahahaha! Pára! Chega de mentir, ex-presidiário!!",149,1564082440976715777,2022-08-29 02:48:07+00:00,Tweetlogix,23953,2949,"SP, Brazil",,
40,Lula quer mudar as regras para participar dos debates. Acho que ele só aceita participar dos próximos se o Presidente Jair Bolsonaro for substituído pelo Bonner.,161,1564411746181324802,2022-08-30 00:36:40+00:00,Twitter for Android,23808,3404,"Brasília, Brasil",,
41,Lula engole seco! Desmascarado por verdades jamais ditas em sua cara. Por isso o Brasil é Bolsonaro🇧🇷👊 https://t.co/XK8zdcIATe,126,1564068725472501760,2022-08-29 01:53:37+00:00,Twitter for iPhone,10137,3081,São Paulo - SP,,
42,"Enquanto Lula agradecia à natureza por ter criado o coronavírus para atrapalhar o Governo Bolsonaro, políticos petistas faziam uma farra com os recursos destinados ao combate da pandemia, usando o dinheiro atè em lojas de vinhos e em empresas de artigos derivados da maconha.",275,1564078298530979840,2022-08-29 02:31:40+00:00,Twitter for Android,12313,2815,"Brasília, Brasil",,
43,LULA EU AUTORIZO a revogar o sigilo de 100 que Bolsonaro botou pra tentar esconder as falcatruas dele.,102,1566473250007404544,2022-09-04 17:08:21+00:00,Twitter for iPhone,6672,1042,Pernambuco,,
44,“Ôh presidente Lula” Declarou Jair Bolsonaro #DebateNaBand,58,1564044732749303809,2022-08-29 00:18:17+00:00,Twitter for iPhone,47892,4093,Brazil,,
45,"Quem ganhou o debate? “Lula arrasa Bolsonaro, que fica destruído diante do gigante salvador da pátria”. Só que não. Vc pode até ver essas manchetes na mídia. Já estou publicando antes, inclusive. Narrativas são assim: não precisam de fatos. Vc inventa e publica.",262,1564011463932424193,2022-08-28 22:06:05+00:00,Twitter for iPhone,9667,1465,"Piauí, Brasil",,
46,"Sobre a troca de posições no debate: campanha de Lula diz que a mudança para afastá-lo de Bolsonaro foi imposta pelo GSI — ou seja, pela segurança do presidente. A imprensa perguntou a Bolsonaro quem fez essa exigência. Resposta do presidente: “Não interessa” #OGlobonasEleicoes",278,1564030026298818561,2022-08-28 23:19:51+00:00,Twitter for iPhone,15091,2057,"Rio de Janeiro, Brasil",,
47,"Alguns que não conhecem o povo brasileiro achavam que Bonner sendo “Tigrão” com Bolsonaro e “Tchuchuca” com Lula ajudaria o Petista. O povo hoje tem internet e sabe tirar suas próprias conclusões. Quem achou isso quebrou a cara, logo vcs vão ver. Capitão rumo à vitória!! 🇧🇷",274,1563950287714410498,2022-08-28 18:03:00+00:00,Twitter for iPhone,10265,1676,,,
48,"Bolsonaro chamou o Lula de ""presidente"". #DebateNaBand #Eleicoes2022 https://t.co/OVb68hLo8G",92,1564045295813550080,2022-08-29 00:20:31+00:00,Twitter Web App,15378,1353,Brazil,,
49,"Bolsonaro não queria ficar do lado de Lula. Não tem problema. Se tudo der certo, em 2023, o Palácio do Planalto vai ficar longe o suficiente da Papuda! #DebateNaBand",165,1564042730958979072,2022-08-29 00:10:20+00:00,Twitter Web App,4674,370,,,
50,Bolsonaro chama de PRESIDENTE LULA e a gente já sabe neeee?? É LULAAAAA,71,1564044923988545539,2022-08-29 00:19:03+00:00,Twitter for iPhone,6213,632,Brazil,,
51,Jair Bolsonaro chamou Lula da Silva de “Presidente”. #DebateNaBand,66,1564044948692934660,2022-08-29 00:19:08+00:00,Twitter for iPhone,8884,888,,,
52,Bolsonaro pediu e a Band aceitou trocá-lo de lugar para não ficar ao lado de Lula. Imagine o desgosto do capitão quando tiver que passar a faixa para o maior rival!,164,1564024391565983744,2022-08-28 22:57:27+00:00,Twitter for iPhone,15804,1015,São Paulo,,
53,Você está pronto para ver Jair Bolsonaro acabando com o farsante do Lula ao vivo?,81,1564035593318850561,2022-08-28 23:41:58+00:00,Twitter for iPhone,4238,446,"Fortaleza, Brasil",,
54,"Até o Bolsonaro já chamou o Lula de presidente, vai se acostumando! É Lula lá! #LulaNaBand",90,1564044848554016768,2022-08-29 00:18:45+00:00,Twitter for Android,3995,576,"Porto Alegre, RS, Brasil",,
55,"Fico do lado, mas não aperto mão de ladrão, diz Bolsonaro de Lula no debate https://t.co/eFBl1oYuAW",99,1564033195133517827,2022-08-28 23:32:26+00:00,Zapier.com,4747,342,Brasil,,
56,"Enquanto o ex presidiário Lula apoia fervorosamente o MST, Bolsonaro em seu governo neutralizou as invasões do MST, que nem CNPJ tem. Chorem, urubus...",151,1564000803077210113,2022-08-28 21:23:43+00:00,Twitter for Android,2573,444,,,
57,"Lula e Bolsonaro pediram que a produção do debate na Band alterasse o posicionamento dos candidatos no palco. Ciro, pelo contrário, não tem medo de cara feia. #CiroNaBand",170,1564012097704452097,2022-08-28 22:08:36+00:00,Twitter for iPhone,805,165,Porto Alegre,,
58,"Hoje acontecerá o primeiro debate presidencial com a presença dos candidatos Lula (PT), Jair Bolsonaro (PL), Ciro Gomes (PDT), Simone Tebet (PMDB), Felipe D'avila (Novo) e Soraya Thronicke (União Brasil).  A transmissão oficial será realizada pela Band e TV Cultura às 21h. https://t.co/qDgWMOMNIy",297,1564039808871239680,2022-08-28 23:58:43+00:00,Twitter for iPhone,1336,73,Brasil,,
