,name,time,tweet,Localization;;
"26,1586382154984001536,,""Amanha o Lula parte de 57.260.000 votos e o Bolsonaro parte de 51.050.000.";;
A maior parte dos 5 milhões de votos da Tebet e dos 3 milhões do votos do Ciro vão para o Lula.;;
;;
"Calculo que Lula deve vencer com cerca de 62/63 milhões de votos."",";;
"27,1586381699449077766,,""O problema não é você ser Lula, bolsonaro, Ciro, Simone... O PROBLEMA É VOCÊ SER CHATO."",";;
"28,1586381196354650115,,""Como disse Ciro, a democracia não está em risco se Bolsonaro ou Lula forem eleitos. A democracia estará em risco se Lula ou Bolsonaro falharem em melhorar a vida do povo. E acho muito mais provável Bolsonaro falhar nessa missão."",";;
29,1586379963007401984,,Ciro Gomes no debate de ontem teria dado uma aula e Bolsonaro (e até o Lula) teria dado tela azul no primeiro minuto.,;;
"30,1586378637863182338,,""Eleição amanhã e eu puto pq igual 2018 serei obrigado a votar no PT no segundo turno, embora eu odeie o PT e o Lula deveria sim estar preso, o Bolsonaro é uma ameaça milhões de vezes maior, igual 2018 o Ciro poderia vencer os 2 no segundo turno, mas vcs babam ovo de político"",";;
"31,1586377493879181312,,""Sou Ciro, e não vou anular meu voto, pq não vai adiantar, alguém vai ser eleito e quero ter feito a minha parte. Não acho Lula a melhor opção mas ele é melhor que Bolsonaro. Vou de 13 amanhã."",";;
32,1586371937408012288,,Não acredito q Bolsonaro conseguirá virar. Lula teve + de 6mi de frente. Pra conseguir Bolsonaro teria q levar todos os votos de Tebet e Ciro (q declararam apoio a Lula) além de diminuir abstenção. É muita presunção achar q os votos dela e Ciro todos vão p Bolsonaro.,;;
"33,1586368260723068928,,""Repito: Amanhã até 17:10 divulgo o resultado da mesa onde meu pai vai trabalhar, ele vai me enviar o resultado. No 1° turno o resultado foi (interior nordestino):";;
;;
Lula: 175 votos;;
Bolsonaro: 85 votos;;
Ciro: 12 votos;;
Kelmon: 1 voto;;
;;
"Vamos ver pra onde vão esses votos da 3° via."",";;
"34,1586367032487948288,,""Ao meu ver, Tony stark seria contra o lula mas votaria nele pra tirar o bolsonaro. viúva negra, feiticeira escalarte e Bruce banner seriam 100% pt/lula. Capitão América, o clint Barton e o visão seriam a favor do bolsonaro. Thor e doutor estranho seriam 3º via (ciro/Simone)"",";;
"35,1586365285229117445,,""Acho muito difícil Bolsonaro conseguir vencer amanhã. Lula só não ganhou no primeiro turno por menos de dois milhões de votos. Isso não é nada pra ele, logo que agora ele terá o apoio da Tebet e do partido do Ciro Gomes. Depois de ontem ficou claro, Bolsonaro já sente a derrota."",";;
"36,1586362632751439872,,""eu tô muito tranquilo quanto a esse segundo turno, uma boa parte dos votos da tebet e Ciro vão pro lula… n acredito que quem votou no lula e Bolsonaro no primeiro turno mudou de ideia quanto ao voto, agora só esperar https://t.co/DBVlkhslh2"",";;
"37,1586358279512416258,,""Gado destro: aaaaaah, o mito é foda. Humilhou o Lula no debate.";;
;;
Gado canhoto: aaaaah, bolsonaro é um verme nazista. Lula humilhou ele no debate.;;
;;
"Realidade: saudades do Ciro, mas vamos de Lula, que é o que tem pra hoje."",";;
"38,1586357404211421184,,""Eu não voto no Bolsonaro,eu voto contra o Lula, eu preferia estar num segundo turno de Ciro VS Felipe Davila mas já que o povo brasileiro é burro e idiota, eu sou obrigado a escolher entre 1 dos 2 criminosos, deixar claro que eu tenho nojo de estar votando em Bolsonaro."",";;
