,name,time,tweet,Source,Likes,RTs,Localization
1260,Pasquale,2022-11-11 00:00:06+00:00,"@direitasiqueira Não sejamos estupidos como o gado do Bozo. Lula falou merda, é impossível governar contra a economia.",Twitter for iPhone,0,0,"Viamão, Brasil"
1261,Vital Siqueira,2022-11-11 00:00:06+00:00,Tenho de continuar porque: vê todos voltando a sena do crime e agora gostando de rir das caras dos que defendem a o… https://t.co/Wu8E0W1oLp,Twitter for Android,0,0,
1262,🇧🇷🇧🇷Lorisvaldo Oliveira🇧🇷🇧🇷,2022-11-11 00:00:05+00:00,@luaultrafiell @Zivaniacandu Todas as urnas com zero para Bolsonaro estava com código fonte revertendo os votos para Lula!,Twitter for Android,0,0,
1263,Fábio 🇧🇷🇧🇷,2022-11-11 00:00:04+00:00,"@Osloturu @gleisi O argumento é forte, dado o resultado das eleições 

LULA TÁ ELEITOOOOO.",Twitter for Android,0,0,
1264,Akintolá Assis ✭彡🦅🥋🔥,2022-11-11 00:00:03+00:00,"Só tô racionalizando, agora, que a Copa do Mundo de futebol vai começar daqui a 10 dias...

2022 já foi um ano muit… https://t.co/yNhPaWqvzn",Twitter for Android,2,0,
1265,Nelson,2022-11-11 00:00:02+00:00,"Xandão ao invés de trabalhar exclusivo nós autos, vem e usurpa seu poder e pede pra lula fazer lei da mordaça kkkkk… https://t.co/Zzbq8qC0us",Twitter for Android,0,0,Brasil Interior de São Paulo
1266,Chopp_33,2022-11-11 00:00:02+00:00,"Mano o Lula tá pouco se fudendo pro mercado 
""O mercado ficou nervoso atoa eu nunca vi um mercado tão sensível quan… https://t.co/FOgdaIIO5E",Twitter for Android,0,0,Belem 🚎 Parauapebas 
1267,ִֶָ,2022-11-11 00:00:02+00:00,eae lula qnd vai começar a trabalhar em prol do corinthians.,Twitter for iPhone,0,0,
1268,Estado de Minas,2022-11-11 00:00:02+00:00,"RESPONSABILIDADE FISCAL
O vice-presidente eleito, Geraldo Alckmin, contestou a reação do mercado financeiro a críti… https://t.co/5dIGFF7mfc",TweetDeck,9,0,Belo Horizonte
1269,Cláudia Santos,2022-11-11 00:00:02+00:00,"@fernandoconrado Claro, porém o Lula vai abrir a mão fácil",Twitter for Android,0,0,"Manaus, Brasil"
1270,Neero ☭,2022-11-11 00:00:01+00:00,"@VNarcisista @ZradoMaster @Carlos18287545 @AqaHumanerror @_Yiok_ @paiNGamingBR ou seja vc quer criar outro país, um… https://t.co/zi4YCxQFIt",Twitter for Android,0,0,
1271,Lobo Pasolini,2022-11-11 00:00:01+00:00,A pandemia e a participação dos médicos no genocídio do povo brasileiro para mim confirmou a #fakeada Guardem o nom… https://t.co/W08RZa1WLv,Twitter Web App,0,0,"Berlin, Germany"
