,name,time,tweet,Source,Likes,RTs,Localization
0,anakin12,2022-11-10 16:53:55+00:00,"@swmu09 @lauvinia_ @_Sara_Rachel @felipeneto E na boa irmão, vota em qm vc quiser, Lula, bolsonaro, Ciro,  Tebet, e… https://t.co/Lb8KY3KPUK",Twitter for Android,0,0,
1,💢🌹 #FreeAssange - Feliz em fazer parte dos 3%,2022-11-10 16:44:29+00:00,"@lord_of_the_tt @HCesconeto @LadislauTopera @Lucasnicooo @felipeneto kkkkkkkkkkkkkkkkkkkkkkkkk

mano, eu to falando… https://t.co/gReUnbbKwI",Twitter Web App,0,0,Brasil
2,"Eärendil, the Mariner",2022-11-10 15:50:43+00:00,@Lucasnicooo @LadislauTopera @esse_trem_ae @HCesconeto @felipeneto sera que nao é pq o ceara tem uma das melhores p… https://t.co/NdVWFyIZeb,Twitter Web App,0,0,Ekkaia
3,Angela Aparecida,2022-11-10 03:39:29+00:00,"Pai Augusto faz previsões sobre futuro de Lula, Bolsonaro, Tebet e Ciro - Politica - Estado de Minas https://t.co/44uTnpLVGu",Twitter Web App,0,0,
4,rapaz latino-americano,2022-11-09 21:13:40+00:00,"Vou dizer, viu: lula pegou uma bomba com o fim do governo Bolsonaro. Não tem dinheiro pra nada. Terra arrasada. Cor… https://t.co/eOTiDO48J6",Twitter for Android,5,1,"Caruaru, Brasil"
5,Levi Alfeu,2022-11-09 21:08:38+00:00,"@MarceloSC_2 @marceloska08 @caiobotelho @LulaOficial @ricardostuckert Qualquer outro ganharia Lula, se o Bolsonaro… https://t.co/Lj4EMk9ZEa",Twitter for Android,0,0,
6,Monique Santana,2022-11-09 18:27:01+00:00,"@FeCamargo @UOL Pois é,tem que ser muito ingênuo achar que qualquer um que fosse eleito((Lula,Bolsonaro,Tebet ou Ci… https://t.co/CsQh6fsc3Z",Twitter for Android,22,0,
7,Key,2022-11-09 17:50:30+00:00,@ExtremelyCursed @Socram639 @betinho_jrr @GustavoMinerva Não tenho a menor dúvida que Simone Tebet ganharia tranqui… https://t.co/3uvvmJ1tO7,Twitter Web App,1,0,
8,Iara e Nicole,2022-11-09 13:19:19+00:00,"@jbnfoglia @Jesussgjo @geraldoalckmin @LulaOficial Só no Brasil mesmo, para ter em uma disputa eleitoral, com Ciro… https://t.co/UshBgzgD8g",Twitter for Android,0,0,
9,Beatriz,2022-11-09 06:49:46+00:00,"@forkyah Meu amor, Tebet tava pendurada em Lula fazendo campanha pra ela e atrás de cargo (q ganhou),Ciro não tava… https://t.co/GOqvGsYOF5",Twitter for Android,3,0,"Paraíba, Brasil"
10,Jacques Villeneuve,2022-11-09 01:17:54+00:00,@S_c_h_n_e_i_d_ @IBO53768085 @cirogomes Ninguém tem de ser isento de críticas e a crítica que Ciro fez foi pertinen… https://t.co/YBVAlWHMGA,Twitter Web App,0,0,"Cabo de Santo Agostinho, PE"
11,Vitor Hugo Bacic Pessoa Vidal,2022-11-09 00:20:59+00:00,@Meiri99738985 @BastosPuchalski @leandroreiter @LarretaNews Você acha que não querer Lula automaticamente faz o pov… https://t.co/oD18MI9v2i,Twitter Web App,0,1,
12,é o meia do youtube po,2022-11-08 23:18:58+00:00,"@obourick todo mundo fala de lula e bolsonaro e bla bla bla
mas e se o 2 turno fosse o ciro e a tebet, ia em quem?",Twitter for Android,0,0,seus sonhos
13,Volnei Schuh,2022-11-08 20:30:26+00:00,"Quem disse a seguinte frase um tempo atrás:
""""Chega de frescura e de mimimi , vão ficar chorando até quando?"" 
(… https://t.co/gLfXubeos6",Twitter Web App,0,0,"Torres, Brasil"
14,Cris Lopes,2022-11-08 18:25:34+00:00,@OGloboPolitica Apesar da Tebet ter apoiado o Lula no segundo turno os votos dela e do Ciro PDT foram massivamente… https://t.co/QyV5d3JQWV,Twitter for iPhone,0,0,"São Paulo, Brasil"
15,Luh Dworak 🥂🥳,2022-11-08 17:25:22+00:00,"@_MariahNunes @JoseRob24292774 @felipeneto Agora na boa, diferente de vcs me explica uma coisa que eu quero entende… https://t.co/lhTl0lUich",Twitter for Android,0,0,"Cuiabá, Brasil"
16,Pedro Ferreira,2022-11-08 15:16:55+00:00,"@LarissaDeLuca_ Mas existem muitos que ainda têm vergonha de admitir que apoiam corrupto.
Quando vem com “Não voto… https://t.co/ijZYZmkfwI",Twitter for iPhone,5,0,"Rio Grande do Sul, Brasil"
17,"Parabéns, ciristas!",2022-11-08 13:33:09+00:00,"@petrius @jfernandaBrasil @LulaOficial Cidades onde Ciro ganhou votos, cara! O maioria foram no nordeste e todos os… https://t.co/ur7hbezSmk",Twitter for Android,0,0,
18,lf,2022-11-08 13:17:54+00:00,@JiiveshDevaBR @augustodeAB Não entendi a correlação. Tem gente mais inteligente que eu e você que votou em Bolsona… https://t.co/57e0w2D9ji,Twitter for Android,1,0,"Rio de Janeiro, Brasil"
19,Guilherme Maia,2022-11-08 10:15:00+00:00,"@tiagobatcardoso Sou contra um vagabundo qualquer( Lula) ser condenado e depois descondenado.

Acha que estou defen… https://t.co/tQNWmpO21t",Twitter for iPhone,0,0,Georgia
