,name,time,tweet,Source,Likes,RTs,Localization
815,Gertrudes Silveira,2022-11-10 23:44:13+00:00,"@GuilhermeBoulos Farsa eleitoral , fraude eleitoral, e vamos ver o q vcs vão fazer qto.a inflamação, porq no tempo… https://t.co/sSNVFt5G4y",Twitter for Android,0,0,
816,O que fizeram com o Grêmio?🕑🤡🇪🇪 🏆🏆🏆🇧🇷🇧🇷,2022-11-10 23:44:12+00:00,@brunnosarttori O vírus mata e quem matou foi o Bolsonaro kkkk. Na França não morreu ninguém… nem nos EUA… sim Bolsonaro não estava lá. 🤦🏻🤡,Twitter for iPhone,0,0,Estados Unidos
817,Gilmar D M,2022-11-10 23:44:09+00:00,"@Steh_Papaiano Afinal, parece que a reunião foi fake...gostam de iludir o povo que perde tempo na frente de quartel… https://t.co/OLjX4yiiUr",Twitter for Android,0,0,
818,dimmi le tue verità,2022-11-10 23:44:09+00:00,@choquei @JanjaLula @LulaOficial errou choquei o Bolsonaro ja foi o primeiro animal a participar da cerimônia,Twitter for Android,0,0,
819,Helena Rosa,2022-11-10 23:44:07+00:00,"@gleisi Não é qe 
Bolsonaro tinha razão. 
""Vivem pensando nele "" .",Twitter for Android,0,0,
820,Mourão de Mel ⚡,2022-11-10 23:44:07+00:00,"Minha irmã se interessando por política 😍😍😍😍
""E o Progressistas tá apoiando quem? O Bolsonaro ou o Lula?""
11 anos, bixo",Twitter for Android,0,0,
821,thi,2022-11-10 23:44:06+00:00,@ROCOS70 @LulaOficial @ricardostuckert seja linear e vc vai entender algumas coisas do governo bolsonaro. abraço!,Twitter for Android,0,0,"Paraná, Brasil"
822,Lívia conta reserva,2022-11-10 23:44:05+00:00,"Bolsonaro sumiu, não visitou mais o cercadinho do gado 🐂 https://t.co/ibH52BYVEO",Twitter for iPhone,0,0,Go
823,ɐɹoqǝp,2022-11-10 23:44:05+00:00,O “mercado” acordando depois de quase 4 anos de bolsonaro https://t.co/Jq5qiH9LzA,Twitter for iPhone,0,0,"Curitiba, Brazil"
824,Fernandoala,2022-11-10 23:44:04+00:00,"@fabiowoficial @jairbolsonaro Exatamente isso que você falou. Mostra CLARAMENTE como ele é fraco como Presidente, n… https://t.co/3qxqf0xE6J",Twitter for Android,0,0,
825,Renata,2022-11-10 23:44:04+00:00,@leandroruschel Início do mandato? Lula já assumiu a presidência? Bolsonaro renunciou?,Twitter for Android,0,0,
826,Nai 💫,2022-11-10 23:44:03+00:00,@NilsePh @Geov4nn4_ @choquei Tô num grupo de bolsonaristas e a regra é exatamente essa pra fingir q não é pelo bozo… https://t.co/M3ATXCIw3X,Twitter Web App,16,1,
827,Fabiane Ribeiro 🍷🤡,2022-11-10 23:44:00+00:00,"@pmarcelo1972 Que horror, gente, que isso, politico é tudo vagabundo, Bolsonaro Lula, n ta nem ai para vcs. Parem d… https://t.co/E0W1H6QLHV",Twitter for Android,0,0,Sorriso MT
828,CLÁUDIO M.B.,2022-11-10 23:43:59+00:00,"Parlamentar europeu cobra governo italiano sobre risco de fuga da família Bolsonaro.
https://t.co/L6xSLjGozQ",Twitter Web App,2,0,PORTO ALEGRE-RS
829,sam 13,2022-11-10 23:43:59+00:00,disse q minha irmã me tratava pior q os jornalistas eram tratados por bolsonaro e ela foi pro quarto,Twitter for iPhone,0,0,selena demi justin 
830,Aline schwartzhaupt gross da silva,2022-11-10 23:43:57+00:00,"@Frazattoofc @CiobanaMonteiro @innyBoop @realpfigueiredo Não perde teu tempo,o ódio deles é tão grande que não, dei… https://t.co/8m4v6o7DTJ",Twitter for Android,1,0,
831,ricci,2022-11-10 23:43:57+00:00,@UOLNoticias O mercado não ficou nervoso com Bolsonaro porque ele não é ladrão. E que postagem ridícula para algo q… https://t.co/vrnEMLL1o9,Twitter for Android,0,0,
832,Jota L 🚩,2022-11-10 23:43:56+00:00,"Bolsonaro ameaçou a democracia. “Mercado” fica calado.
Lula diz que sua prioridade é eliminar a fome. “Mercado” faz… https://t.co/GzbioYeH8y",Twitter for iPhone,0,0,
833,Abimas12,2022-11-10 23:43:55+00:00,"Bolsonaro deveria pedir música no fantástico por perder 3 vezes, no 1 turno no 2 turno e agora no relatório 😂",Twitter for Android,0,0,
